feature,mean_importance,std_importance,min_importance,max_importance
Return_Lag_1,0.08981616604014794,0.011768371043277229,0.06910259351003095,0.09838289936589428
Return_Lag_3,0.0738916601664665,0.02027716286748071,0.05915415135654337,0.10825854921165882
Return_Lag_5,0.07338153841964895,0.0030426416749553776,0.06974243895620572,0.07692069556710135
Volatility,0.07310015455179977,0.003399415768113709,0.0690581594243571,0.07761673233957482
Volume_Change,0.0691675091636269,0.006876786998309848,0.06127679456544162,0.07692138343137758
High_Low_Pct,0.06819664388363918,0.004415609311164028,0.06196193279840579,0.07282075476925898
SMA_10,0.06498351080501867,0.0023898912871833933,0.06196736929334075,0.06767315155972704
Momentum_5,0.06489746504783989,0.0034388724933756528,0.06129100726812896,0.06986085550552754
Daily_Return,0.0632416886605079,0.005046830450844392,0.05813608641060814,0.07036523817134231
SMA_5,0.06302801554559669,0.0033820916691432814,0.05741526313216864,0.06616407851014194
SMA_20,0.061641248092612164,0.004705230555536883,0.05737101149283119,0.06856379741611954
High_Low_Range,0.06054814127103003,0.003745046897032291,0.054820880913091424,0.06420514835005746
Relative_Volume,0.05923692593783063,0.003940857783905666,0.05495852522708034,0.06347677769421159
Return_Lag_10,0.05814802780645749,0.0045408146532845105,0.05256533081653164,0.06320868746777855
BB_Position,0.056721304607777356,0.00435563537609269,0.049561735582434346,0.06062630394646512
